created_at,id,full_text,lang,retweet_count,favorite_count
Sun Sep 07 15:29:08 +0000 2014,508638103058145280,"Days of scattered clouds
Change in the eyes of men 
Summer to winter

#haiku #poem #summer #clouds",en,0,0
Sat Sep 06 22:11:53 +0000 2014,508377069399465984,"The sun doesn't wink
Life still tries to go unseen
Cowering in shade

#haiku #poem #summer #hot",en,0,0
Sat Sep 06 22:11:46 +0000 2014,508377043134738432,"Market bustling
Filled with bright colored spices
And ripening fruit

#haiku #poem #summer #market",en,0,0
Thu Sep 04 11:45:33 +0000 2014,507494672550215680,"Summer evening wine
Summons reminiscence 
Of childhood treats 

#haiku #poem #summer #wine",en,0,0
Wed Sep 03 15:32:22 +0000 2014,507189365794013184,"The sun's reflection 
Tilting on the slow river 
Smooth like the silt floor

#haiku #poem #river #summer",en,0,0
Tue Sep 02 19:54:32 +0000 2014,506892953583759360,"Fiction gets lighter
When the days are long and warm
Winter cuts deeper.

#haiku #poem #fiction #seasons",en,0,0
Mon Sep 01 10:57:18 +0000 2014,506395364870467585,"Person, place or thing
Heart yearns to correlate it
To the summer breeze.

#haiku #poems #summer",en,0,0
Sun Aug 31 13:46:28 +0000 2014,506075552864677889,"When stress binds your neck
Inhale deeply to your throat
That thick summer air

#haiku #poem #summer #breath",en,0,0
Sat Aug 30 21:02:37 +0000 2014,505822924989665280,"Gentle press of night
Easing ones shoulders to rest
Beneath open stars",en,0,0
Wed Aug 27 07:41:47 +0000 2014,504534225068883969,"Before the night leaves
Azure pushes blackness out
Patient, the sun waits.",en,0,0
Tue Aug 26 07:05:11 +0000 2014,504162627228925953,"A guttural noise 
The frog breaching nights silence
Tells me it's lonely.

#haiku #poem #nature #frog",en,0,0
Tue Aug 26 07:03:43 +0000 2014,504162258578964480,"Fractal veins of green
Pull and fuse the light and air.
Bits of blue slip through. 

#summer #poetry #haiku #art",en,1,1
Mon Aug 25 06:21:57 +0000 2014,503789356780253184,"My exhalation 
Does not change the summer air
Nor does it warm me",en,0,0
Sun Aug 24 00:50:23 +0000 2014,503343528211394562,"Grass presents a world
With a vertical nature
To the life below. 

#haiku #poem #nature",en,1,0
