,poems
0,Missing one good thing Twirling in a separate ring Yearning to take wing 
1,"Full belly ready To change, snuggle to bed Nestle by her side "
2,The me of my words May swim in heads overseas Searching for his place 
3,Bless the new hatched day For there is much to receive And ways which to grow 
4,You stand beneath them Gazing at the humble plant Hoping to be touched 
5,"As we pass along This cobble, willow draped, path The end seems unreal "
6,Shouting with whispers To a love that is fleeing Into the late night 
7,Hard pushing along A night's bus conversation Could be either's fault 
8,"Blink, then it's two years Down a winding path westwards With tears towards the east "
9,The spiral stair case That leads from deep in times past Is your future print 
10,Smile on our faces And comforting embraces Melt our time apart 
11,Go appreciate A depreciating day As the sun crawls south 
12,Let words be left out Like leaves who fall from tall trees Mulch the forest floor 
13,The lie of our time Is that we symbolize trees When we are the ground 
14,Fog seeps and steeps night Eyes dart off the moon lit leaves Creatures rest or hide 
15,Trapping time since now Convinced I see the future Best shall prove me right 
16,"Relaxing reading Birds are tweeting, dogs aloof Eyes down, connecting "
17,"To choose the mistake Seeking movement, further growth. Clever was the snake "
18,To re-find safe space Is to remember the past While in the present 
19,"The land sits so still Rolling, waiting to be filled Patiently, to bloom "
20,"Crimple on the funk Slinking past the rough stuff, puff With the music on "
21,Slowed down progression Second thoughts over silence Woe from privilege 
22,Crystallization The gold of another's hand Drizzling to tea 
23,The slow moving time Hanging - the ever-abyss Of futures untold 
24,Someone feather light A light that can be brushed soft Like a white feather 
25,You on the outside Has long hair and wears t-shirts How fast that could change 
26,Slippery slimy Scurrying salamanders Spilling from the log 
27,Words whirling their way Trying to find spots to stay Learning a language 
28,Wading through the night Not wanting to stop and rest Anywhere near shore 
29,"To find change again Howling, sorrow’s winds have passed Drys my goose-bumped skin "
30,Plants shake in the wind Awaiting spring time's great warmth To bring their purpose 
31,I'm getting confused Complicating sentences I once knew were true 
32,Days roll quicker now And the weight of their passing Is causing self-doubt 
33,Chill rolls through the night Unobstructive to street lights Who cast yellow glows 
34,My exhalation Does not change the summer air Nor does it warm me 
35,Fallen back asleep Left with a wisp of a dream Of my wakeful state 
36,Growing high and deep Or always cracking the seed? Life's plant metaphor 
37,Stalking up and down The cool aired sun lit back porch Purring for some food 
38,Can't say I did much That's why I need the weekend Cleans my conscious fresh 
39,"Rise and shine, it's time Stretch limb by limb, role the neck Enter worlds of light. "
40,Time flows in blurred chunks Of patched equanimity Tying not to notice 
41,Organization Of bottom shooting to leaves In the tall cedar 
42,"Hushed slap of the waves Brushing a rhythm that's nice Easy, predictable. "
43,The sorrow tunnel Splattered with florescent light To look like the sun 
44,Long days of travel Can easily be wasted For no good reason 
45,When thoughts whisper down Your spirit and your body Know you are alive! 
46,When the light shines through The windowpane around noon I know the dust's there 
47,We grasp on so tight Continuing day to day War. It seems silly. 
48,Crack a smile open Letters better make it sent Whirling in the breeze 
49,Am I observer Am I the one observing Maybe I'm observed 
50,Deep steeped denial For it is my last comfort Avoiding closure 
51,The river will move Itself into the ocean To become itself 
52,The world sees you've changed You could swear you've stayed the same It's just a haircut. 
53,"Confused and jittered Messages sent and waiting, Playing that bad game "
54,"What a great idea Yet it is up to me to Do, lest it escape "
55,Action is in need Conversation takes the lead Hope and love it breeds 
56,Seeing you in vain When those hallow wants of mine Convince me away 
57,Watch her talk freely Excited so easily With all she’s to share 
58,Shivers down my spine Grappling with life and time Squeezing out in rhyme 
59,'Why am I alive?' The single daunting question Our existence solves 
60,Save cash for comfort And to buffer all changes True comfort's in change 
61,You have opened my heart Yet if You will it to close That too is mercy 
62,Life's perfection screams Through natures placement of trees Through veins of a leaf 
63,Breathing in balance With the rocking of a wave Which rolls from within 
