,id,full_text,retweet_count,favorite_count,hyperlinks,Day,Date,Time,Year,character_count,word_count,hashtags,poems,hashtag_count,y_tally,vowel_tally
0,508638103058145280,"Days of scattered clouds
Change in the eyes of men 
Summer to winter

#haiku #poem #summer #clouds",0,0,twitter.com/anyuser/status/508638103058145280,Sun,Sep 07,15:29:08,2014,55,13,"['#haiku', '#poem', '#summer', '#clouds']",Days of scattered clouds Change in the eyes of men Summer to winter ,4,2,20
1,508377069399465984,"The sun doesn't wink
Life still tries to go unseen
Cowering in shade

#haiku #poem #summer #hot",0,0,twitter.com/anyuser/status/508377069399465984,Sat,Sep 06,22:11:53,2014,56,13,"['#haiku', '#poem', '#summer', '#hot']",The sun doesn't wink Life still tries to go unseen Cowering in shade ,4,0,21
2,508377043134738432,"Market bustling
Filled with bright colored spices
And ripening fruit

#haiku #poem #summer #market",0,0,twitter.com/anyuser/status/508377043134738432,Sat,Sep 06,22:11:46,2014,59,10,"['#haiku', '#poem', '#summer', '#market']",Market bustling Filled with bright colored spices And ripening fruit ,4,0,18
3,507494672550215680,"Summer evening wine
Summons reminiscence 
Of childhood treats 

#haiku #poem #summer #wine",0,0,twitter.com/anyuser/status/507494672550215680,Thu,Sep 04,11:45:33,2014,53,8,"['#haiku', '#poem', '#summer', '#wine']",Summer evening wine Summons reminiscence Of childhood treats ,4,0,19
4,507189365794013184,"The sun's reflection 
Tilting on the slow river 
Smooth like the silt floor

#haiku #poem #river #summer",0,0,twitter.com/anyuser/status/507189365794013184,Wed,Sep 03,15:32:22,2014,61,13,"['#haiku', '#poem', '#river', '#summer']",The sun's reflection Tilting on the slow river Smooth like the silt floor ,4,0,21
5,506892953583759360,"Fiction gets lighter
When the days are long and warm
Winter cuts deeper.

#haiku #poem #fiction #seasons",0,0,twitter.com/anyuser/status/506892953583759360,Tue,Sep 02,19:54:32,2014,60,13,"['#haiku', '#poem', '#fiction', '#seasons']",Fiction gets lighter When the days are long and warm Winter cuts deeper. ,4,1,20
6,506395364870467585,"Person, place or thing
Heart yearns to correlate it
To the summer breeze.

#haiku #poems #summer",0,0,twitter.com/anyuser/status/506395364870467585,Mon,Sep 01,10:57:18,2014,61,13,"['#haiku', '#poems', '#summer']","Person, place or thing Heart yearns to correlate it To the summer breeze. ",3,1,23
7,506075552864677889,"When stress binds your neck
Inhale deeply to your throat
That thick summer air

#haiku #poem #summer #breath",0,0,twitter.com/anyuser/status/506075552864677889,Sun,Aug 31,13:46:28,2014,65,14,"['#haiku', '#poem', '#summer', '#breath']",When stress binds your neck Inhale deeply to your throat That thick summer air ,4,3,21
8,505822924989665280,"Gentle press of night
Easing ones shoulders to rest
Beneath open stars",0,0,twitter.com/anyuser/status/505822924989665280,Sat,Aug 30,21:02:37,2014,59,12,[],Gentle press of night Easing ones shoulders to rest Beneath open stars ,0,0,20
9,504534225068883969,"Before the night leaves
Azure pushes blackness out
Patient, the sun waits.",0,0,twitter.com/anyuser/status/504534225068883969,Wed,Aug 27,07:41:47,2014,63,12,[],"Before the night leaves Azure pushes blackness out Patient, the sun waits. ",0,0,23
10,504162627228925953,"A guttural noise 
The frog breaching nights silence
Tells me it's lonely.

#haiku #poem #nature #frog",0,0,twitter.com/anyuser/status/504162627228925953,Tue,Aug 26,07:05:11,2014,61,12,"['#haiku', '#poem', '#nature', '#frog']",A guttural noise The frog breaching nights silence Tells me it's lonely. ,4,1,20
11,504162258578964480,"Fractal veins of green
Pull and fuse the light and air.
Bits of blue slip through. 

#summer #poetry #haiku #art",1,1,twitter.com/anyuser/status/504162258578964480,Tue,Aug 26,07:03:43,2014,67,16,"['#summer', '#poetry', '#haiku', '#art']",Fractal veins of green Pull and fuse the light and air. Bits of blue slip through. ,4,0,23
12,503789356780253184,"My exhalation 
Does not change the summer air
Nor does it warm me",0,0,twitter.com/anyuser/status/503789356780253184,Mon,Aug 25,06:21:57,2014,52,13,[],My exhalation Does not change the summer air Nor does it warm me ,0,1,21
13,503343528211394562,"Grass presents a world
With a vertical nature
To the life below. 

#haiku #poem #nature",1,0,twitter.com/anyuser/status/503343528211394562,Sun,Aug 24,00:50:23,2014,53,12,"['#haiku', '#poem', '#nature']",Grass presents a world With a vertical nature To the life below. ,3,0,19
14,502891786881499136,"Have I forgotten
The sobering winter air
Strong, like alcohol. 

#winter #poem #haiku",1,0,twitter.com/anyuser/status/502891786881499136,Fri,Aug 22,18:55:19,2014,53,10,"['#winter', '#poem', '#haiku']","Have I forgotten The sobering winter air Strong, like alcohol. ",3,0,19
15,501240533151678465,"The crack of ice cubes
Carried by an August breeze
Confuses the deer.",0,0,twitter.com/anyuser/status/501240533151678465,Mon,Aug 18,05:33:50,2014,57,13,[],The crack of ice cubes Carried by an August breeze Confuses the deer. ,0,1,22
16,511468010654023681,"We all think of ways
To capture time to save it
On display in art

#haiku #poetry #art #Time",0,0,twitter.com/anyuser/status/511468010654023681,Mon,Sep 15,10:54:11,2014,51,15,"['#haiku', '#poetry', '#art', '#Time']",We all think of ways To capture time to save it On display in art ,4,2,19
17,511433774089768960,"It's hard to think of
Life's greater purpose, on this
A beautiful day

#haiku #poetry #summer #outsidecoffee",0,0,twitter.com/anyuser/status/511433774089768960,Mon,Sep 15,08:38:08,2014,57,13,"['#haiku', '#poetry', '#summer', '#outsidecoffee']","It's hard to think of Life's greater purpose, on this A beautiful day ",4,1,20
18,511280242581708802,"When heart string's plucked
The chest turns a concert hall
Filled with its music 

#haiku #poetry #love",0,1,twitter.com/anyuser/status/511280242581708802,Sun,Sep 14,22:28:03,2014,67,14,"['#haiku', '#poetry', '#love']",When heart string's plucked The chest turns a concert hall Filled with its music ,3,0,19
19,511277057540505601,"Go appreciate
A depreciating day
As the sun crawls south

#haiku #micropoetry #summersend",2,1,twitter.com/anyuser/status/511277057540505601,Sun,Sep 14,22:15:24,2014,47,10,"['#haiku', '#micropoetry', '#summersend']",Go appreciate A depreciating day As the sun crawls south ,3,1,17
20,511123357979258880,"Sunken into breath
Drenched in a rhythmic cycle
Oh didgeridoo 

#haiku #micropoetry #breath #didjeridoo",0,0,twitter.com/anyuser/status/511123357979258880,Sun,Sep 14,12:04:39,2014,52,10,"['#haiku', '#micropoetry', '#breath', '#didjeridoo']",Sunken into breath Drenched in a rhythmic cycle Oh didgeridoo ,4,2,17
21,511104827053461504,"Neither short nor long
Continuous or broken
You only get one

#haiku #micropoetry #life",0,0,twitter.com/anyuser/status/511104827053461504,Sun,Sep 14,10:51:01,2014,50,11,"['#haiku', '#micropoetry', '#life']",Neither short nor long Continuous or broken You only get one ,3,1,20
22,510930435111530496,"When thoughts whisper down
Your spirit and your body
Know you are alive!

#haiku #micropoetry #inspiration",2,2,twitter.com/anyuser/status/510930435111530496,Sat,Sep 13,23:18:03,2014,60,13,"['#haiku', '#micropoetry', '#inspiration']",When thoughts whisper down Your spirit and your body Know you are alive! ,3,3,22
23,510926760058163201,"Locked in a limerick
Constructed by another
Feeling my words fly

#haiku #micropoetry #language",1,3,twitter.com/anyuser/status/510926760058163201,Sat,Sep 13,23:03:26,2014,54,11,"['#haiku', '#micropoetry', '#language']",Locked in a limerick Constructed by another Feeling my words fly ,3,3,17
24,510925778213564417,"When the light shines through
The windowpane around noon
I know the dust's there 

#haiku #micropoetry #dust",1,1,twitter.com/anyuser/status/510925778213564417,Sat,Sep 13,22:59:32,2014,67,14,"['#haiku', '#micropoetry', '#dust']",When the light shines through The windowpane around noon I know the dust's there ,3,0,22
25,510925130357153792,"The fleeting nature 
Of feelings and memories 
Draws me to stories

#haiku #micropoetry #meaning #pillowtweet",2,6,twitter.com/anyuser/status/510925130357153792,Sat,Sep 13,22:56:58,2014,54,11,"['#haiku', '#micropoetry', '#meaning', '#pillowtweet']",The fleeting nature Of feelings and memories Draws me to stories ,4,0,21
